10766.jpg, 1, Label: person, Confidence: 0.91
26079.jpg, 3, Label: person, Confidence: 0.84
26079.jpg, 5, Label: person, Confidence: 0.73
26079.jpg, 7, no object detected
26079.jpg, 10, no object detected
26079.jpg, 0, Label: person, Confidence: 0.87
12452.jpg, 1, Label: person, Confidence: 0.93
12452.jpg, 3, Label: person, Confidence: 0.92
12452.jpg, 5, Label: person, Confidence: 0.63
12452.jpg, 7, no object detected
12452.jpg, 10, no object detected
12452.jpg, 0, Label: person, Confidence: 0.93
18727.jpg, 1, Label: person, Confidence: 0.85
18727.jpg, 3, Label: person, Confidence: 0.83
18727.jpg, 5, Label: person, Confidence: 0.31
18727.jpg, 7, no object detected
18727.jpg, 10, no object detected
18727.jpg, 0, Label: person, Confidence: 0.85
8214.jpg, 1, Label: person, Confidence: 0.83
8214.jpg, 3, Label: person, Confidence: 0.75
8214.jpg, 5, no object detected
8214.jpg, 7, no object detected
8214.jpg, 10, no object detected
8214.jpg, 0, Label: person, Confidence: 0.83
13271.jpg, 1, Label: person, Confidence: 0.80
13271.jpg, 3, Label: person, Confidence: 0.74
13271.jpg, 5, no object detected
13271.jpg, 7, no object detected
13271.jpg, 10, no object detected
13271.jpg, 0, Label: person, Confidence: 0.80
15390.jpg, 1, Label: person, Confidence: 0.91
15390.jpg, 3, Label: person, Confidence: 0.78
15390.jpg, 5, no object detected
15390.jpg, 7, no object detected
15390.jpg, 10, no object detected
15390.jpg, 0, Label: person, Confidence: 0.91
2909.jpg, 1, Label: person, Confidence: 0.77
2909.jpg, 3, Label: person, Confidence: 0.68
2909.jpg, 5, Label: person, Confidence: 0.45
2909.jpg, 7, no object detected
2909.jpg, 10, no object detected
2909.jpg, 0, Label: person, Confidence: 0.77
27212.jpg, 1, Label: person, Confidence: 0.73
27212.jpg, 3, Label: person, Confidence: 0.72
27212.jpg, 5, no object detected
27212.jpg, 7, no object detected
27212.jpg, 10, no object detected
27212.jpg, 0, Label: person, Confidence: 0.73
29764.jpg, 1, Label: person, Confidence: 0.71
29764.jpg, 3, Label: person, Confidence: 0.69
29764.jpg, 5, no object detected
29764.jpg, 7, no object detected
29764.jpg, 10, no object detected
29764.jpg, 0, Label: person, Confidence: 0.71
7297.jpg, 1, Label: person, Confidence: 0.84
7297.jpg, 3, Label: person, Confidence: 0.83
7297.jpg, 5, Label: person, Confidence: 0.60
7297.jpg, 7, no object detected
7297.jpg, 10, no object detected
7297.jpg, 0, Label: person, Confidence: 0.84
14863.jpg, 1, Label: person, Confidence: 0.85
14863.jpg, 3, Label: person, Confidence: 0.82
14863.jpg, 5, no object detected
14863.jpg, 7, no object detected
14863.jpg, 10, no object detected
14863.jpg, 0, Label: person, Confidence: 0.85
8637.jpg, 1, Label: person, Confidence: 0.81
8637.jpg, 3, Label: person, Confidence: 0.63
8637.jpg, 5, Label: person, Confidence: 0.42
8637.jpg, 7, no object detected
8637.jpg, 10, no object detected
8637.jpg, 0, Label: person, Confidence: 0.81
13387.jpg, 1, Label: person, Confidence: 0.79
13387.jpg, 3, Label: person, Confidence: 0.74
13387.jpg, 5, Label: person, Confidence: 0.56
13387.jpg, 7, no object detected
13387.jpg, 10, no object detected
13387.jpg, 0, Label: person, Confidence: 0.79
11681.jpg, 1, Label: person, Confidence: 0.90
11681.jpg, 3, Label: person, Confidence: 0.90
11681.jpg, 5, Label: person, Confidence: 0.62
11681.jpg, 7, no object detected
11681.jpg, 10, no object detected
11681.jpg, 0, Label: person, Confidence: 0.90
11706.jpg, 1, Label: person, Confidence: 0.78
11706.jpg, 1, Label: person, Confidence: 0.27
11706.jpg, 3, Label: person, Confidence: 0.65
11706.jpg, 3, Label: person, Confidence: 0.31
11706.jpg, 5, Label: person, Confidence: 0.40
11706.jpg, 7, no object detected
11706.jpg, 10, no object detected
11706.jpg, 0, Label: person, Confidence: 0.78
11706.jpg, 0, Label: person, Confidence: 0.27
17677.jpg, 1, Label: person, Confidence: 0.92
17677.jpg, 3, Label: person, Confidence: 0.81
17677.jpg, 5, Label: person, Confidence: 0.39
17677.jpg, 7, no object detected
17677.jpg, 10, no object detected
17677.jpg, 0, Label: person, Confidence: 0.92
7378.jpg, 1, Label: person, Confidence: 0.68
7378.jpg, 3, Label: person, Confidence: 0.58
7378.jpg, 5, Label: person, Confidence: 0.53
7378.jpg, 7, Label: person, Confidence: 0.34
7378.jpg, 10, no object detected
7378.jpg, 0, Label: person, Confidence: 0.68
5142.jpg, 1, Label: person, Confidence: 0.90
5142.jpg, 3, Label: person, Confidence: 0.63
5142.jpg, 5, no object detected
5142.jpg, 7, no object detected
5142.jpg, 10, no object detected
5142.jpg, 0, Label: person, Confidence: 0.90
4048.jpg, 1, Label: person, Confidence: 0.73
4048.jpg, 3, Label: person, Confidence: 0.70
4048.jpg, 5, no object detected
4048.jpg, 7, no object detected
4048.jpg, 10, no object detected
4048.jpg, 0, Label: person, Confidence: 0.73
748.jpg, 1, Label: person, Confidence: 0.81
748.jpg, 3, Label: person, Confidence: 0.75
748.jpg, 5, no object detected
748.jpg, 7, no object detected
748.jpg, 10, no object detected
748.jpg, 0, Label: person, Confidence: 0.81
24825.jpg, 1, Label: person, Confidence: 0.71
24825.jpg, 3, Label: person, Confidence: 0.57
24825.jpg, 5, no object detected
24825.jpg, 7, no object detected
24825.jpg, 10, no object detected
24825.jpg, 0, Label: person, Confidence: 0.71
21521.jpg, 1, Label: person, Confidence: 0.77
21521.jpg, 3, Label: person, Confidence: 0.79
21521.jpg, 5, Label: person, Confidence: 0.54
21521.jpg, 7, no object detected
21521.jpg, 10, no object detected
21521.jpg, 0, Label: person, Confidence: 0.77
6920.jpg, 1, Label: person, Confidence: 0.81
6920.jpg, 3, Label: person, Confidence: 0.61
6920.jpg, 5, no object detected
6920.jpg, 7, no object detected
6920.jpg, 10, no object detected
6920.jpg, 0, Label: person, Confidence: 0.81
10179.jpg, 1, Label: person, Confidence: 0.92
10179.jpg, 3, Label: person, Confidence: 0.92
10179.jpg, 5, no object detected
10179.jpg, 7, no object detected
10179.jpg, 10, no object detected
10179.jpg, 0, Label: person, Confidence: 0.92
6498.jpg, 1, Label: person, Confidence: 0.77
6498.jpg, 3, Label: person, Confidence: 0.69
6498.jpg, 5, Label: person, Confidence: 0.30
6498.jpg, 7, no object detected
6498.jpg, 10, no object detected
6498.jpg, 0, Label: person, Confidence: 0.77
5224.jpg, 1, Label: person, Confidence: 0.91
5224.jpg, 3, Label: person, Confidence: 0.79
5224.jpg, 3, Label: person, Confidence: 0.48
5224.jpg, 5, Label: person, Confidence: 0.83
5224.jpg, 7, no object detected
5224.jpg, 10, no object detected
5224.jpg, 0, Label: person, Confidence: 0.91
27809.jpg, 1, Label: person, Confidence: 0.46
27809.jpg, 3, Label: person, Confidence: 0.52
27809.jpg, 5, Label: person, Confidence: 0.44
27809.jpg, 7, no object detected
27809.jpg, 10, no object detected
27809.jpg, 0, Label: person, Confidence: 0.46
19825.jpg, 1, Label: person, Confidence: 0.58
19825.jpg, 3, Label: person, Confidence: 0.57
19825.jpg, 5, Label: person, Confidence: 0.31
19825.jpg, 7, no object detected
19825.jpg, 10, no object detected
19825.jpg, 0, Label: person, Confidence: 0.58
20123.jpg, 1, Label: person, Confidence: 0.62
20123.jpg, 3, Label: person, Confidence: 0.68
20123.jpg, 5, no object detected
20123.jpg, 7, no object detected
20123.jpg, 10, no object detected
20123.jpg, 0, Label: person, Confidence: 0.62
9880.jpg, 1, Label: person, Confidence: 0.86
9880.jpg, 3, Label: person, Confidence: 0.82
9880.jpg, 5, Label: person, Confidence: 0.61
9880.jpg, 7, no object detected
9880.jpg, 10, no object detected
9880.jpg, 0, Label: person, Confidence: 0.86
18018.jpg, 1, Label: person, Confidence: 0.94
18018.jpg, 3, Label: person, Confidence: 0.93
18018.jpg, 5, Label: person, Confidence: 0.52
18018.jpg, 7, no object detected
18018.jpg, 10, no object detected
18018.jpg, 0, Label: person, Confidence: 0.94
10827.jpg, 1, Label: person, Confidence: 0.78
10827.jpg, 3, Label: person, Confidence: 0.66
10827.jpg, 5, no object detected
10827.jpg, 7, no object detected
10827.jpg, 10, no object detected
10827.jpg, 0, Label: person, Confidence: 0.78
335.jpg, 1, Label: person, Confidence: 0.90
335.jpg, 3, Label: person, Confidence: 0.86
335.jpg, 5, no object detected
335.jpg, 7, no object detected
335.jpg, 10, no object detected
335.jpg, 0, Label: person, Confidence: 0.90
29892.jpg, 1, Label: person, Confidence: 0.56
29892.jpg, 3, Label: person, Confidence: 0.38
29892.jpg, 5, no object detected
29892.jpg, 7, no object detected
29892.jpg, 10, no object detected
29892.jpg, 0, Label: person, Confidence: 0.56
11413.jpg, 1, Label: person, Confidence: 0.87
11413.jpg, 3, Label: person, Confidence: 0.80
11413.jpg, 5, Label: person, Confidence: 0.86
11413.jpg, 7, no object detected
11413.jpg, 10, no object detected
11413.jpg, 0, Label: person, Confidence: 0.87
8568.jpg, 1, Label: person, Confidence: 0.70
8568.jpg, 3, Label: person, Confidence: 0.60
8568.jpg, 5, no object detected
8568.jpg, 7, no object detected
8568.jpg, 10, no object detected
8568.jpg, 0, Label: person, Confidence: 0.70
15842.jpg, 1, Label: person, Confidence: 0.63
15842.jpg, 1, Label: person, Confidence: 0.27
15842.jpg, 3, Label: person, Confidence: 0.61
15842.jpg, 3, Label: person, Confidence: 0.35
15842.jpg, 5, no object detected
15842.jpg, 7, no object detected
15842.jpg, 10, no object detected
15842.jpg, 0, Label: person, Confidence: 0.63
15842.jpg, 0, Label: person, Confidence: 0.27
29464.jpg, 1, Label: person, Confidence: 0.74
29464.jpg, 3, Label: person, Confidence: 0.64
29464.jpg, 5, Label: person, Confidence: 0.66
29464.jpg, 7, no object detected
29464.jpg, 10, no object detected
29464.jpg, 0, Label: person, Confidence: 0.74
22353.jpg, 1, Label: person, Confidence: 0.62
22353.jpg, 3, Label: person, Confidence: 0.63
22353.jpg, 5, Label: person, Confidence: 0.44
22353.jpg, 7, no object detected
22353.jpg, 10, no object detected
22353.jpg, 0, Label: person, Confidence: 0.62
21965.jpg, 1, Label: person, Confidence: 0.90
21965.jpg, 3, Label: person, Confidence: 0.87
21965.jpg, 5, Label: person, Confidence: 0.64
21965.jpg, 7, no object detected
21965.jpg, 10, no object detected
21965.jpg, 0, Label: person, Confidence: 0.90
28106.jpg, 1, Label: person, Confidence: 0.95
28106.jpg, 3, Label: person, Confidence: 0.94
28106.jpg, 5, no object detected
28106.jpg, 7, no object detected
28106.jpg, 10, no object detected
28106.jpg, 0, Label: person, Confidence: 0.95
12462.jpg, 1, Label: person, Confidence: 0.89
12462.jpg, 3, Label: person, Confidence: 0.79
12462.jpg, 5, no object detected
12462.jpg, 7, no object detected
12462.jpg, 10, no object detected
12462.jpg, 0, Label: person, Confidence: 0.89
4668.jpg, 1, Label: person, Confidence: 0.60
4668.jpg, 3, Label: person, Confidence: 0.40
4668.jpg, 5, Label: person, Confidence: 0.43
4668.jpg, 7, no object detected
4668.jpg, 10, no object detected
4668.jpg, 0, Label: person, Confidence: 0.60
28102.jpg, 1, Label: person, Confidence: 0.91
28102.jpg, 3, Label: person, Confidence: 0.89
28102.jpg, 5, Label: person, Confidence: 0.80
28102.jpg, 7, Label: person, Confidence: 0.37
28102.jpg, 10, no object detected
28102.jpg, 0, Label: person, Confidence: 0.91
10953.jpg, 1, Label: person, Confidence: 0.86
10953.jpg, 3, Label: person, Confidence: 0.81
10953.jpg, 5, Label: person, Confidence: 0.35
10953.jpg, 7, no object detected
10953.jpg, 10, no object detected
10953.jpg, 0, Label: person, Confidence: 0.86
24926.jpg, 1, Label: person, Confidence: 0.92
24926.jpg, 3, Label: person, Confidence: 0.87
24926.jpg, 5, Label: person, Confidence: 0.33
24926.jpg, 7, no object detected
24926.jpg, 10, no object detected
24926.jpg, 0, Label: person, Confidence: 0.92
3614.jpg, 1, Label: person, Confidence: 0.74
3614.jpg, 3, Label: person, Confidence: 0.72
3614.jpg, 5, no object detected
3614.jpg, 7, no object detected
3614.jpg, 10, no object detected
3614.jpg, 0, Label: person, Confidence: 0.74
399.jpg, 1, Label: person, Confidence: 0.92
399.jpg, 3, Label: person, Confidence: 0.92
399.jpg, 5, Label: person, Confidence: 0.75
399.jpg, 7, no object detected
399.jpg, 10, no object detected
399.jpg, 0, Label: person, Confidence: 0.92
22535.jpg, 1, Label: person, Confidence: 0.79
22535.jpg, 3, Label: person, Confidence: 0.80
22535.jpg, 5, Label: person, Confidence: 0.46
22535.jpg, 7, no object detected
22535.jpg, 10, no object detected
22535.jpg, 0, Label: person, Confidence: 0.79
12318.jpg, 1, Label: person, Confidence: 0.44
12318.jpg, 3, Label: person, Confidence: 0.39
12318.jpg, 5, Label: person, Confidence: 0.36
12318.jpg, 7, no object detected
12318.jpg, 10, no object detected
12318.jpg, 0, Label: person, Confidence: 0.44
22883.jpg, 1, Label: person, Confidence: 0.76
22883.jpg, 3, Label: person, Confidence: 0.74
22883.jpg, 5, Label: person, Confidence: 0.83
22883.jpg, 7, no object detected
22883.jpg, 10, no object detected
22883.jpg, 0, Label: person, Confidence: 0.76
17133.jpg, 1, Label: person, Confidence: 0.75
17133.jpg, 3, Label: person, Confidence: 0.53
17133.jpg, 5, no object detected
17133.jpg, 7, no object detected
17133.jpg, 10, no object detected
17133.jpg, 0, Label: person, Confidence: 0.75
15542.jpg, 1, Label: person, Confidence: 0.59
15542.jpg, 3, Label: person, Confidence: 0.65
15542.jpg, 5, Label: person, Confidence: 0.76
15542.jpg, 7, Label: person, Confidence: 0.48
15542.jpg, 10, no object detected
15542.jpg, 0, Label: person, Confidence: 0.59
25855.jpg, 1, Label: person, Confidence: 0.83
25855.jpg, 3, Label: person, Confidence: 0.80
25855.jpg, 5, Label: person, Confidence: 0.70
25855.jpg, 7, no object detected
25855.jpg, 10, no object detected
25855.jpg, 0, Label: person, Confidence: 0.83
16698.jpg, 1, Label: person, Confidence: 0.43
16698.jpg, 3, Label: person, Confidence: 0.43
16698.jpg, 5, Label: person, Confidence: 0.42
16698.jpg, 7, no object detected
16698.jpg, 10, no object detected
16698.jpg, 0, Label: person, Confidence: 0.43
23480.jpg, 1, Label: person, Confidence: 0.83
23480.jpg, 1, Label: person, Confidence: 0.76
23480.jpg, 3, Label: person, Confidence: 0.77
23480.jpg, 3, Label: person, Confidence: 0.52
23480.jpg, 5, Label: person, Confidence: 0.44
23480.jpg, 7, no object detected
23480.jpg, 10, no object detected
23480.jpg, 0, Label: person, Confidence: 0.83
23480.jpg, 0, Label: person, Confidence: 0.76
5768.jpg, 1, Label: person, Confidence: 0.92
5768.jpg, 3, Label: person, Confidence: 0.93
5768.jpg, 5, Label: person, Confidence: 0.78
5768.jpg, 7, no object detected
5768.jpg, 10, no object detected
5768.jpg, 0, Label: person, Confidence: 0.92
3309.jpg, 1, Label: person, Confidence: 0.91
3309.jpg, 3, Label: person, Confidence: 0.81
3309.jpg, 5, Label: person, Confidence: 0.72
3309.jpg, 7, no object detected
3309.jpg, 10, no object detected
3309.jpg, 0, Label: person, Confidence: 0.91
23886.jpg, 1, Label: person, Confidence: 0.75
23886.jpg, 3, Label: person, Confidence: 0.59
23886.jpg, 5, Label: person, Confidence: 0.30
23886.jpg, 7, no object detected
23886.jpg, 10, no object detected
23886.jpg, 0, Label: person, Confidence: 0.75
27360.jpg, 1, Label: person, Confidence: 0.86
27360.jpg, 3, Label: person, Confidence: 0.86
27360.jpg, 5, no object detected
27360.jpg, 7, no object detected
27360.jpg, 10, no object detected
27360.jpg, 0, Label: person, Confidence: 0.86
16668.jpg, 1, Label: person, Confidence: 0.91
16668.jpg, 3, Label: person, Confidence: 0.86
16668.jpg, 5, no object detected
16668.jpg, 7, no object detected
16668.jpg, 10, no object detected
16668.jpg, 0, Label: person, Confidence: 0.91
21497.jpg, 1, Label: person, Confidence: 0.56
21497.jpg, 1, Label: person, Confidence: 0.36
21497.jpg, 3, Label: person, Confidence: 0.46
21497.jpg, 5, no object detected
21497.jpg, 7, no object detected
21497.jpg, 10, no object detected
21497.jpg, 0, Label: person, Confidence: 0.56
21497.jpg, 0, Label: person, Confidence: 0.36
10308.jpg, 1, Label: person, Confidence: 0.93
10308.jpg, 3, Label: person, Confidence: 0.93
10308.jpg, 5, no object detected
10308.jpg, 7, no object detected
10308.jpg, 10, no object detected
10308.jpg, 0, Label: person, Confidence: 0.93
29335.jpg, 1, Label: person, Confidence: 0.93
29335.jpg, 3, Label: person, Confidence: 0.93
29335.jpg, 5, Label: person, Confidence: 0.74
29335.jpg, 7, no object detected
29335.jpg, 10, no object detected
29335.jpg, 0, Label: person, Confidence: 0.93
25539.jpg, 1, Label: person, Confidence: 0.73
25539.jpg, 3, Label: person, Confidence: 0.64
25539.jpg, 5, Label: person, Confidence: 0.53
25539.jpg, 7, no object detected
25539.jpg, 10, no object detected
25539.jpg, 0, Label: person, Confidence: 0.73
12148.jpg, 1, Label: person, Confidence: 0.90
12148.jpg, 3, Label: person, Confidence: 0.89
12148.jpg, 5, Label: person, Confidence: 0.82
12148.jpg, 7, no object detected
12148.jpg, 10, no object detected
12148.jpg, 0, Label: person, Confidence: 0.90
11431.jpg, 1, Label: person, Confidence: 0.79
11431.jpg, 3, Label: person, Confidence: 0.80
11431.jpg, 5, Label: person, Confidence: 0.27
11431.jpg, 7, no object detected
11431.jpg, 10, no object detected
11431.jpg, 0, Label: person, Confidence: 0.79
13979.jpg, 1, Label: person, Confidence: 0.82
13979.jpg, 3, Label: person, Confidence: 0.69
13979.jpg, 5, no object detected
13979.jpg, 7, no object detected
13979.jpg, 10, no object detected
13979.jpg, 0, Label: person, Confidence: 0.82
2905.jpg, 1, Label: person, Confidence: 0.85
2905.jpg, 3, Label: person, Confidence: 0.83
2905.jpg, 5, no object detected
2905.jpg, 7, no object detected
2905.jpg, 10, no object detected
2905.jpg, 0, Label: person, Confidence: 0.85
10491.jpg, 1, Label: person, Confidence: 0.90
10491.jpg, 3, Label: person, Confidence: 0.88
10491.jpg, 5, no object detected
10491.jpg, 7, no object detected
10491.jpg, 10, no object detected
10491.jpg, 0, Label: person, Confidence: 0.90
1278.jpg, 1, Label: person, Confidence: 0.67
1278.jpg, 3, Label: person, Confidence: 0.57
1278.jpg, 5, no object detected
1278.jpg, 7, no object detected
1278.jpg, 10, no object detected
1278.jpg, 0, Label: person, Confidence: 0.67
7768.jpg, 1, Label: person, Confidence: 0.93
7768.jpg, 3, Label: person, Confidence: 0.88
7768.jpg, 5, no object detected
7768.jpg, 7, no object detected
7768.jpg, 10, no object detected
7768.jpg, 0, Label: person, Confidence: 0.93
12227.jpg, 1, Label: person, Confidence: 0.39
12227.jpg, 1, Label: person, Confidence: 0.25
12227.jpg, 3, Label: person, Confidence: 0.48
12227.jpg, 5, no object detected
12227.jpg, 7, no object detected
12227.jpg, 10, no object detected
12227.jpg, 0, Label: person, Confidence: 0.39
12227.jpg, 0, Label: person, Confidence: 0.25
3105.jpg, 1, Label: person, Confidence: 0.70
3105.jpg, 3, Label: person, Confidence: 0.58
3105.jpg, 5, no object detected
3105.jpg, 7, no object detected
3105.jpg, 10, no object detected
3105.jpg, 0, Label: person, Confidence: 0.70
17447.jpg, 1, Label: person, Confidence: 0.65
17447.jpg, 3, Label: person, Confidence: 0.43
17447.jpg, 5, Label: person, Confidence: 0.52
17447.jpg, 7, no object detected
17447.jpg, 10, no object detected
17447.jpg, 0, Label: person, Confidence: 0.65
9560.jpg, 1, Label: person, Confidence: 0.88
9560.jpg, 3, Label: person, Confidence: 0.85
9560.jpg, 5, no object detected
9560.jpg, 7, no object detected
9560.jpg, 10, no object detected
9560.jpg, 0, Label: person, Confidence: 0.88
23164.jpg, 1, Label: person, Confidence: 0.93
23164.jpg, 3, Label: person, Confidence: 0.92
23164.jpg, 5, Label: person, Confidence: 0.39
23164.jpg, 7, no object detected
23164.jpg, 10, no object detected
23164.jpg, 0, Label: person, Confidence: 0.93
27391.jpg, 1, Label: person, Confidence: 0.90
27391.jpg, 3, Label: person, Confidence: 0.87
27391.jpg, 5, Label: person, Confidence: 0.34
27391.jpg, 7, no object detected
27391.jpg, 10, no object detected
27391.jpg, 0, Label: person, Confidence: 0.90
10557.jpg, 1, Label: person, Confidence: 0.79
10557.jpg, 1, Label: person, Confidence: 0.68
10557.jpg, 1, Label: person, Confidence: 0.50
10557.jpg, 3, Label: person, Confidence: 0.74
10557.jpg, 3, Label: person, Confidence: 0.65
10557.jpg, 3, Label: person, Confidence: 0.35
10557.jpg, 5, Label: person, Confidence: 0.40
10557.jpg, 5, Label: person, Confidence: 0.31
10557.jpg, 5, Label: person, Confidence: 0.28
10557.jpg, 7, no object detected
10557.jpg, 10, no object detected
10557.jpg, 0, Label: person, Confidence: 0.79
10557.jpg, 0, Label: person, Confidence: 0.68
10557.jpg, 0, Label: person, Confidence: 0.50
117.jpg, 1, Label: person, Confidence: 0.92
117.jpg, 3, Label: person, Confidence: 0.91
117.jpg, 5, no object detected
117.jpg, 7, no object detected
117.jpg, 10, no object detected
117.jpg, 0, Label: person, Confidence: 0.92
3762.jpg, 1, Label: person, Confidence: 0.65
3762.jpg, 3, Label: person, Confidence: 0.45
3762.jpg, 5, no object detected
3762.jpg, 7, no object detected
3762.jpg, 10, no object detected
3762.jpg, 0, Label: person, Confidence: 0.65
27250.jpg, 1, Label: person, Confidence: 0.94
27250.jpg, 3, Label: person, Confidence: 0.95
27250.jpg, 3, Label: person, Confidence: 0.41
27250.jpg, 5, Label: person, Confidence: 0.51
27250.jpg, 7, no object detected
27250.jpg, 10, no object detected
27250.jpg, 0, Label: person, Confidence: 0.94
15523.jpg, 1, Label: person, Confidence: 0.77
15523.jpg, 3, Label: person, Confidence: 0.79
15523.jpg, 5, no object detected
15523.jpg, 7, no object detected
15523.jpg, 10, no object detected
15523.jpg, 0, Label: person, Confidence: 0.77
3793.jpg, 1, Label: person, Confidence: 0.72
3793.jpg, 3, Label: person, Confidence: 0.58
3793.jpg, 5, Label: person, Confidence: 0.67
3793.jpg, 7, no object detected
3793.jpg, 10, no object detected
3793.jpg, 0, Label: person, Confidence: 0.72
20110.jpg, 1, Label: person, Confidence: 0.94
20110.jpg, 3, Label: person, Confidence: 0.92
20110.jpg, 5, Label: person, Confidence: 0.55
20110.jpg, 7, no object detected
20110.jpg, 10, no object detected
20110.jpg, 0, Label: person, Confidence: 0.94
8544.jpg, 1, Label: person, Confidence: 0.51
8544.jpg, 3, Label: person, Confidence: 0.53
8544.jpg, 5, no object detected
8544.jpg, 7, no object detected
8544.jpg, 10, no object detected
8544.jpg, 0, Label: person, Confidence: 0.51
472.jpg, 1, Label: person, Confidence: 0.75
472.jpg, 3, Label: person, Confidence: 0.66
472.jpg, 5, no object detected
472.jpg, 7, no object detected
472.jpg, 10, no object detected
472.jpg, 0, Label: person, Confidence: 0.75
22702.jpg, 1, Label: person, Confidence: 0.85
22702.jpg, 3, Label: person, Confidence: 0.83
22702.jpg, 5, no object detected
22702.jpg, 7, no object detected
22702.jpg, 10, no object detected
22702.jpg, 0, Label: person, Confidence: 0.85
3441.jpg, 1, Label: person, Confidence: 0.91
3441.jpg, 3, Label: person, Confidence: 0.89
3441.jpg, 5, Label: person, Confidence: 0.61
3441.jpg, 7, no object detected
3441.jpg, 10, no object detected
3441.jpg, 0, Label: person, Confidence: 0.91
15843.jpg, 1, Label: person, Confidence: 0.82
15843.jpg, 3, Label: person, Confidence: 0.78
15843.jpg, 5, Label: person, Confidence: 0.28
15843.jpg, 7, no object detected
15843.jpg, 10, no object detected
15843.jpg, 0, Label: person, Confidence: 0.82
17170.jpg, 1, Label: person, Confidence: 0.86
17170.jpg, 3, Label: person, Confidence: 0.79
17170.jpg, 5, no object detected
17170.jpg, 7, no object detected
17170.jpg, 10, no object detected
17170.jpg, 0, Label: person, Confidence: 0.86
9977.jpg, 1, Label: person, Confidence: 0.86
9977.jpg, 3, Label: person, Confidence: 0.88
9977.jpg, 5, Label: person, Confidence: 0.58
9977.jpg, 7, no object detected
9977.jpg, 10, no object detected
9977.jpg, 0, Label: person, Confidence: 0.86
6898.jpg, 1, Label: person, Confidence: 0.88
6898.jpg, 1, Label: person, Confidence: 0.52
6898.jpg, 3, Label: person, Confidence: 0.89
6898.jpg, 3, Label: person, Confidence: 0.25
6898.jpg, 5, Label: person, Confidence: 0.61
6898.jpg, 5, Label: person, Confidence: 0.33
6898.jpg, 7, no object detected
6898.jpg, 10, no object detected
6898.jpg, 0, Label: person, Confidence: 0.88
6898.jpg, 0, Label: person, Confidence: 0.52
17007.jpg, 1, Label: person, Confidence: 0.93
17007.jpg, 3, Label: person, Confidence: 0.86
17007.jpg, 5, no object detected
17007.jpg, 7, no object detected
17007.jpg, 10, no object detected
17007.jpg, 0, Label: person, Confidence: 0.93
10859.jpg, 1, Label: person, Confidence: 0.62
10859.jpg, 3, Label: person, Confidence: 0.58
10859.jpg, 3, Label: person, Confidence: 0.37
10859.jpg, 5, no object detected
10859.jpg, 7, no object detected
10859.jpg, 10, no object detected
10859.jpg, 0, Label: person, Confidence: 0.62
12566.jpg, 1, no object detected
12566.jpg, 3, no object detected
12566.jpg, 5, no object detected
12566.jpg, 7, no object detected
12566.jpg, 10, no object detected
12566.jpg, 0, no object detected
13098.jpg, 1, Label: person, Confidence: 0.86
13098.jpg, 3, Label: person, Confidence: 0.82
